,Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total,BEV Percent Change,CPI,PPI,CCI,48_month_loan,60_month_loan,s&p,gdp,New BEV Added
0,2017-01-31,7687,14738,22425,,242.839,190.7,101.3867,4.45,4.05,2329.91,,
1,2017-02-28,7888,15206,23094,3.175464784909754,243.603,191.6,101.3742,4.52,4.21,2366.82,,468.0
2,2017-03-31,8092,15596,23688,2.5647770616861854,243.801,191.5,101.343,4.52,4.21,2359.31,,390.0
3,2017-04-30,8286,16104,24390,3.2572454475506607,244.524,193.0,101.3027,4.52,4.21,2395.35,,508.0
4,2017-05-31,8497,16569,25066,2.887481371087919,244.733,192.8,101.2303,4.67,4.24,2433.99,,465.0
5,2017-06-30,8751,16986,25737,2.51674814412457,244.955,193.6,101.1226,4.67,4.24,2454.1,,417.0
6,2017-07-31,8931,17379,26310,2.3136700812433686,244.786,193.5,101.0809,4.67,4.24,2456.22,,393.0
7,2017-08-31,9147,17678,26825,1.7204672305656254,245.519,193.8,101.179,4.42,4.36,2492.84,,299.0
8,2017-09-30,9374,18078,27452,2.26269940038466,246.819,194.8,101.3019,4.42,4.36,2557.0,,400.0
9,2017-10-31,9649,18524,28173,2.4670870671534395,246.663,194.9,101.4542,4.42,4.36,2593.61,,446.0
10,2017-11-30,9888,18877,28765,1.9056359317642046,246.669,195.9,101.4338,4.81,4.51,2664.34,,353.0
11,2017-12-31,10120,19185,29305,1.6316151930921174,246.524,196.3,101.3498,4.81,4.51,2789.8,,308.0
12,2018-01-31,10534,19733,30267,2.85639822778212,247.867,197.9,101.3796,4.81,4.51,2705.16,,548.0
13,2018-02-28,10833,19976,30809,1.231439720265537,248.991,199.3,101.5417,4.74,4.75,2702.77,,243.0
14,2018-03-31,11180,20393,31573,2.0875050060072065,249.554,199.3,101.6425,4.74,4.75,2653.63,,417.0
15,2018-04-30,11514,20924,32438,2.60383464914431,250.546,200.3,101.5918,4.74,4.75,2701.49,,531.0
16,2018-05-31,11933,21701,33634,3.713439112980299,251.588,203.2,101.5063,5.05,4.99,2754.35,,777.0
17,2018-06-30,12356,22434,34790,3.377724528823567,251.989,204.2,101.4486,5.05,4.99,2793.64,,733.0
18,2018-07-31,12649,22984,35633,2.4516359097797924,252.006,204.3,101.4173,5.05,4.99,2857.82,,550.0
