,Date,County,Battery Electric Vehicles (BEVs)
0,2017-01-31,Adams,1
1,2017-01-31,Asotin,4
2,2017-01-31,Benton,129
3,2017-01-31,Chelan,54
4,2017-01-31,Clallam,73
5,2017-01-31,Clark,673
6,2017-01-31,Columbia,0
7,2017-01-31,Cowlitz,51
8,2017-01-31,Douglas,29
9,2017-01-31,Ferry,2
10,2017-01-31,Franklin,27
11,2017-01-31,Garfield,0
12,2017-01-31,Grant,16
13,2017-01-31,Grays Harbor,27
14,2017-01-31,Island,104
15,2017-01-31,Jefferson,87
16,2017-01-31,King,8810
17,2017-01-31,Kitsap,557
18,2017-01-31,Kittitas,15
19,2017-01-31,Klickitat,20
20,2017-01-31,Lewis,43
21,2017-01-31,Lincoln,2
22,2017-01-31,Mason,48
23,2017-01-31,Okanogan,3
24,2017-01-31,Pacific,5
25,2017-01-31,Pend Oreille,1
26,2017-01-31,Pierce,822
27,2017-01-31,San Juan,84
28,2017-01-31,Skagit,107
29,2017-01-31,Skamania,7
30,2017-01-31,Snohomish,1550
31,2017-01-31,Spokane,222
32,2017-01-31,Stevens,6
33,2017-01-31,Thurston,336
34,2017-01-31,Wahkiakum,0
35,2017-01-31,Walla Walla,16
36,2017-01-31,Whatcom,385
37,2017-01-31,Whitman,8
38,2017-01-31,Yakima,36
39,2017-02-28,Adams,2
40,2017-02-28,Asotin,4
41,2017-02-28,Benton,134
42,2017-02-28,Chelan,55
43,2017-02-28,Clallam,75
44,2017-02-28,Clark,695
45,2017-02-28,Columbia,0
46,2017-02-28,Cowlitz,50
47,2017-02-28,Douglas,30
48,2017-02-28,Ferry,2
49,2017-02-28,Franklin,26
50,2017-02-28,Garfield,0
51,2017-02-28,Grant,16
52,2017-02-28,Grays Harbor,27
53,2017-02-28,Island,100
54,2017-02-28,Jefferson,89
55,2017-02-28,King,9104
56,2017-02-28,Kitsap,562
57,2017-02-28,Kittitas,15
58,2017-02-28,Klickitat,20
59,2017-02-28,Lewis,45
60,2017-02-28,Lincoln,2
61,2017-02-28,Mason,47
62,2017-02-28,Okanogan,3
63,2017-02-28,Pacific,5
64,2017-02-28,Pend Oreille,1
65,2017-02-28,Pierce,862
66,2017-02-28,San Juan,88
