,County,Battery Electric Vehicles (BEVs),Month,Year
0,Adams,1,1,2017
1,Asotin,4,1,2017
2,Benton,129,1,2017
3,Chelan,54,1,2017
4,Clallam,73,1,2017
5,Clark,673,1,2017
6,Columbia,0,1,2017
7,Cowlitz,51,1,2017
8,Douglas,29,1,2017
9,Ferry,2,1,2017
10,Franklin,27,1,2017
11,Garfield,0,1,2017
12,Grant,16,1,2017
13,Grays Harbor,27,1,2017
14,Island,104,1,2017
15,Jefferson,87,1,2017
16,King,8810,1,2017
17,Kitsap,557,1,2017
18,Kittitas,15,1,2017
19,Klickitat,20,1,2017
20,Lewis,43,1,2017
21,Lincoln,2,1,2017
22,Mason,48,1,2017
23,Okanogan,3,1,2017
24,Pacific,5,1,2017
25,Pend Oreille,1,1,2017
26,Pierce,822,1,2017
27,San Juan,84,1,2017
28,Skagit,107,1,2017
29,Skamania,7,1,2017
30,Snohomish,1550,1,2017
31,Spokane,222,1,2017
32,Stevens,6,1,2017
33,Thurston,336,1,2017
34,Wahkiakum,0,1,2017
35,Walla Walla,16,1,2017
36,Whatcom,385,1,2017
37,Whitman,8,1,2017
38,Yakima,36,1,2017
39,Adams,2,2,2017
40,Asotin,4,2,2017
41,Benton,134,2,2017
42,Chelan,55,2,2017
43,Clallam,75,2,2017
44,Clark,695,2,2017
45,Columbia,0,2,2017
46,Cowlitz,50,2,2017
47,Douglas,30,2,2017
48,Ferry,2,2,2017
49,Franklin,26,2,2017
50,Garfield,0,2,2017
51,Grant,16,2,2017
52,Grays Harbor,27,2,2017
53,Island,100,2,2017
54,Jefferson,89,2,2017
55,King,9104,2,2017
56,Kitsap,562,2,2017
57,Kittitas,15,2,2017
58,Klickitat,20,2,2017
59,Lewis,45,2,2017
60,Lincoln,2,2,2017
61,Mason,47,2,2017
62,Okanogan,3,2,2017
63,Pacific,5,2,2017
64,Pend Oreille,1,2,2017
65,Pierce,862,2,2017
66,San Juan,88,2,2017
67,Skagit,114,2,2017
68,Skamania,7,2,2017
69,Snohomish,1605,2,2017
70,Spokane,227,2,2017
71,Stevens,6,2,2017
72,Thurston,351,2,2017
73,Wahkiakum,0,2,2017
74,Walla Walla,17,2,2017
75,Whatcom,403,2,2017
76,Whitman,8,2,2017
77,Yakima,36,2,2017
78,Adams,2,3,2017
79,Asotin,5,3,2017
80,Benton,140,3,2017
81,Chelan,55,3,2017
82,Clallam,77,3,2017
83,Clark,718,3,2017
84,Columbia,0,3,2017
85,Cowlitz,51,3,2017
86,Douglas,29,3,2017
87,Ferry,2,3,2017
88,Franklin,26,3,2017
89,Garfield,0,3,2017
90,Grant,17,3,2017
91,Grays Harbor,27,3,2017
92,Island,105,3,2017
93,Jefferson,94,3,2017
94,King,9323,3,2017
95,Kitsap,573,3,2017
96,Kittitas,17,3,2017
97,Klickitat,21,3,2017
98,Lewis,45,3,2017
99,Lincoln,2,3,2017
100,Mason,50,3,2017
101,Okanogan,3,3,2017
102,Pacific,6,3,2017
103,Pend Oreille,1,3,2017
104,Pierce,876,3,2017
105,San Juan,88,3,2017
106,Skagit,119,3,2017
107,Skamania,8,3,2017
108,Snohomish,1657,3,2017
109,Spokane,233,3,2017
110,Stevens,6,3,2017
111,Thurston,365,3,2017
112,Wahkiakum,0,3,2017
113,Walla Walla,20,3,2017
114,Whatcom,418,3,2017
115,Whitman,9,3,2017
116,Yakima,36,3,2017
117,Adams,2,4,2017
118,Asotin,6,4,2017
119,Benton,143,4,2017
120,Chelan,55,4,2017
121,Clallam,80,4,2017
122,Clark,755,4,2017
123,Columbia,0,4,2017
124,Cowlitz,52,4,2017
125,Douglas,31,4,2017
126,Ferry,2,4,2017
127,Franklin,27,4,2017
128,Garfield,0,4,2017
129,Grant,18,4,2017
130,Grays Harbor,29,4,2017
131,Island,108,4,2017
132,Jefferson,98,4,2017
133,King,9564,4,2017
134,Kitsap,585,4,2017
135,Kittitas,21,4,2017
136,Klickitat,22,4,2017
137,Lewis,46,4,2017
138,Lincoln,2,4,2017
139,Mason,49,4,2017
140,Okanogan,3,4,2017
141,Pacific,9,4,2017
142,Pend Oreille,1,4,2017
143,Pierce,917,4,2017
144,San Juan,98,4,2017
145,Skagit,124,4,2017
146,Skamania,9,4,2017
147,Snohomish,1710,4,2017
148,Spokane,237,4,2017
149,Stevens,8,4,2017
150,Thurston,385,4,2017
151,Wahkiakum,0,4,2017
152,Walla Walla,22,4,2017
153,Whatcom,443,4,2017
154,Whitman,9,4,2017
155,Yakima,38,4,2017
156,Adams,2,5,2017
157,Asotin,6,5,2017
158,Benton,146,5,2017
159,Chelan,60,5,2017
160,Clallam,84,5,2017
161,Clark,770,5,2017
162,Columbia,0,5,2017
163,Cowlitz,52,5,2017
164,Douglas,32,5,2017
165,Ferry,1,5,2017
166,Franklin,28,5,2017
167,Garfield,0,5,2017
168,Grant,20,5,2017
169,Grays Harbor,31,5,2017
170,Island,113,5,2017
171,Jefferson,103,5,2017
172,King,9802,5,2017
173,Kitsap,596,5,2017
174,Kittitas,22,5,2017
175,Klickitat,22,5,2017
176,Lewis,49,5,2017
177,Lincoln,2,5,2017
178,Mason,51,5,2017
179,Okanogan,3,5,2017
180,Pacific,9,5,2017
181,Pend Oreille,2,5,2017
182,Pierce,933,5,2017
183,San Juan,104,5,2017
184,Skagit,135,5,2017
185,Skamania,9,5,2017
186,Snohomish,1740,5,2017
187,Spokane,246,5,2017
188,Stevens,8,5,2017
189,Thurston,390,5,2017
190,Wahkiakum,0,5,2017
191,Walla Walla,23,5,2017
192,Whatcom,457,5,2017
193,Whitman,10,5,2017
194,Yakima,42,5,2017
195,Adams,2,6,2017
196,Asotin,6,6,2017
197,Benton,148,6,2017
198,Chelan,67,6,2017
199,Clallam,90,6,2017
200,Clark,787,6,2017
201,Columbia,1,6,2017
202,Cowlitz,50,6,2017
203,Douglas,34,6,2017
204,Ferry,1,6,2017
205,Franklin,26,6,2017
206,Garfield,0,6,2017
207,Grant,20,6,2017
208,Grays Harbor,35,6,2017
209,Island,117,6,2017
210,Jefferson,104,6,2017
211,King,10033,6,2017
212,Kitsap,606,6,2017
213,Kittitas,21,6,2017
214,Klickitat,23,6,2017
215,Lewis,51,6,2017
216,Lincoln,2,6,2017
217,Mason,56,6,2017
218,Okanogan,4,6,2017
219,Pacific,10,6,2017
220,Pend Oreille,3,6,2017
221,Pierce,956,6,2017
222,San Juan,107,6,2017
223,Skagit,141,6,2017
224,Skamania,9,6,2017
225,Snohomish,1794,6,2017
226,Spokane,254,6,2017
227,Stevens,8,6,2017
228,Thurston,398,6,2017
229,Wahkiakum,0,6,2017
230,Walla Walla,25,6,2017
231,Whatcom,464,6,2017
232,Whitman,10,6,2017
233,Yakima,45,6,2017
234,Adams,3,7,2017
235,Asotin,8,7,2017
236,Benton,155,7,2017
237,Chelan,68,7,2017
238,Clallam,93,7,2017
239,Clark,795,7,2017
240,Columbia,1,7,2017
241,Cowlitz,52,7,2017
242,Douglas,35,7,2017
243,Ferry,1,7,2017
244,Franklin,26,7,2017
245,Garfield,0,7,2017
246,Grant,19,7,2017
247,Grays Harbor,36,7,2017
248,Island,121,7,2017
249,Jefferson,107,7,2017
250,King,10260,7,2017
251,Kitsap,623,7,2017
252,Kittitas,24,7,2017
253,Klickitat,23,7,2017
254,Lewis,52,7,2017
255,Lincoln,2,7,2017
256,Mason,57,7,2017
257,Okanogan,4,7,2017
258,Pacific,10,7,2017
259,Pend Oreille,3,7,2017
260,Pierce,986,7,2017
261,San Juan,112,7,2017
262,Skagit,142,7,2017
263,Skamania,9,7,2017
264,Snohomish,1819,7,2017
265,Spokane,263,7,2017
266,Stevens,8,7,2017
267,Thurston,418,7,2017
268,Wahkiakum,0,7,2017
269,Walla Walla,27,7,2017
270,Whatcom,476,7,2017
271,Whitman,12,7,2017
272,Yakima,49,7,2017
273,Adams,3,8,2017
274,Asotin,8,8,2017
275,Benton,161,8,2017
276,Chelan,72,8,2017
277,Clallam,96,8,2017
278,Clark,794,8,2017
279,Columbia,1,8,2017
280,Cowlitz,50,8,2017
281,Douglas,35,8,2017
282,Ferry,1,8,2017
283,Franklin,27,8,2017
284,Garfield,1,8,2017
285,Grant,19,8,2017
286,Grays Harbor,37,8,2017
287,Island,124,8,2017
288,Jefferson,112,8,2017
289,King,10445,8,2017
290,Kitsap,638,8,2017
291,Kittitas,27,8,2017
292,Klickitat,22,8,2017
293,Lewis,55,8,2017
294,Lincoln,1,8,2017
295,Mason,59,8,2017
296,Okanogan,4,8,2017
297,Pacific,10,8,2017
298,Pend Oreille,3,8,2017
299,Pierce,999,8,2017
300,San Juan,113,8,2017
301,Skagit,141,8,2017
302,Skamania,10,8,2017
303,Snohomish,1848,8,2017
304,Spokane,269,8,2017
305,Stevens,8,8,2017
306,Thurston,421,8,2017
307,Wahkiakum,0,8,2017
308,Walla Walla,27,8,2017
309,Whatcom,483,8,2017
310,Whitman,11,8,2017
311,Yakima,54,8,2017
312,Adams,3,9,2017
313,Asotin,7,9,2017
314,Benton,163,9,2017
315,Chelan,75,9,2017
316,Clallam,95,9,2017
317,Clark,810,9,2017
318,Columbia,1,9,2017
319,Cowlitz,52,9,2017
320,Douglas,35,9,2017
321,Ferry,1,9,2017
322,Franklin,29,9,2017
323,Garfield,1,9,2017
324,Grant,20,9,2017
325,Grays Harbor,38,9,2017
326,Island,129,9,2017
327,Jefferson,114,9,2017
328,King,10658,9,2017
329,Kitsap,654,9,2017
330,Kittitas,33,9,2017
331,Klickitat,23,9,2017
332,Lewis,53,9,2017
333,Lincoln,2,9,2017
334,Mason,61,9,2017
335,Okanogan,5,9,2017
336,Pacific,12,9,2017
337,Pend Oreille,3,9,2017
338,Pierce,1012,9,2017
339,San Juan,117,9,2017
340,Skagit,149,9,2017
341,Skamania,10,9,2017
342,Snohomish,1912,9,2017
343,Spokane,277,9,2017
344,Stevens,8,9,2017
345,Thurston,435,9,2017
346,Wahkiakum,0,9,2017
347,Walla Walla,27,9,2017
348,Whatcom,498,9,2017
349,Whitman,12,9,2017
350,Yakima,57,9,2017
351,Adams,3,10,2017
352,Asotin,7,10,2017
353,Benton,164,10,2017
354,Chelan,77,10,2017
355,Clallam,96,10,2017
356,Clark,829,10,2017
357,Columbia,1,10,2017
358,Cowlitz,54,10,2017
359,Douglas,36,10,2017
360,Ferry,1,10,2017
361,Franklin,31,10,2017
362,Garfield,1,10,2017
363,Grant,20,10,2017
364,Grays Harbor,38,10,2017
365,Island,138,10,2017
366,Jefferson,116,10,2017
367,King,10946,10,2017
368,Kitsap,662,10,2017
369,Kittitas,33,10,2017
370,Klickitat,23,10,2017
371,Lewis,53,10,2017
