Station Name,Street Address,Latitude,Longitude
West Valley School,8900 E. Buckeye Ave.,47.68229,-117.285339
WADOC ABERDEEN FO 2,304 W Wishkah St,46.97314,-123.820847
"Walmart 2037 (Aberdeen, WA)",909 E Wishkah St,46.97642,-123.80708
415 West Heron Street (US-3HE-7VZ-1C),415 West Heron Street,46.97114,-123.820993
415 West Heron Street (US-3HE-7VZ-2C),415 West Heron Street,46.97117,-123.82092
415 West Heron Street (US-3HE-7VZ-2B),415 West Heron Street,46.97117,-123.82093
415 West Heron Street (US-3HE-7VZ-2A),415 West Heron Street,46.97114,-123.82099
415 West Heron Street (US-3HE-7VZ-1B),415 West Heron Street,46.97114,-123.820991
"Aberdeen, WA - Tesla Supercharger",416 Wishkah Street,46.976679,-123.813485
WADOC ABERDEEN FO 1,304 W Wishkah St,46.973103,-123.820901
415 West Heron Street (US-3HE-7VZ-1A),415 West Heron Street,46.9708,-123.82138
SIA E GARAGE F.2 #4,9000 W. Airport Drive,47.625006,-117.539796
SIA E GARAGE F.2 #3,9000 W. Airport Drive,47.625021,-117.539667
Days Inn & Suites,1215 S Garfield Rd,47.6441402329576,-117.576707512147
SIA E GARAGE F.2 #6,9000 W. Airport Drive,47.625087,-117.539968
SIA E GARAGE F.2 #2,9000 W. Airport Drive,47.625021,-117.539657
SIA E GARAGE F.2 #5,9000 W. Airport Drive,47.625019,-117.539831
STCU Airway Heights,10811 W ST RT 2 HWY,47.642531,-117.561399
SIA E GARAGE F.2 #1,9000 W. Airport Drive,47.625122,-117.539614
Island Hospital Behind M.O.B. Building,1211 24th Street,48.5006578,-122.6159562
Anacortes Public Parking,559 Q Ave,48.517768,-122.610743
ANACORTESEV N CH WEST EV1,5TH Q Ave,48.518102,-122.611203
LEVEL II CHARGE LEVEL II CHARGE,1014 18th St,48.507864,-122.613612
1203 Parking Lot,1203 26th Street,48.5012896,-122.6152529
Safeway 911 11th St,911 11th Street,48.5126865,-122.611788
SAMISH NATION CANNERY SOUTH 2,715 Seafarers Way,48.510044,-122.608185
ANACORTESEV LIBRARY EV,M Ave. and 9th near Library,48.514381,-122.616919
ANACORTESEV N CH WEST EV#2,5TH Q Ave,48.518179,-122.611202
SAMISH NATION CANNERY SOUTH 1,715 Seafarers Way,48.51004,-122.608116
Sunrise Inn Villas & Suites - Tesla Destination,905  20th st,48.50598,-122.6117
"Walgreens - Anacortes, WA #7131",909 17th Street,48.508154,-122.611842
ANACORTESEV E CH PARKING #3,6 Q Ave,48.517744,-122.610748
Majestic Inn & Spa - Tesla Destination,419 Commercial Ave,48.51854,-122.61215
Safeway 3532 172nd St,3532 172nd Street Northeast,48.151766,-122.1815615
Angel of the Winds Casino - Tesla Destination,3438 Stoluckquamish Ln,48.214249,-122.184142
