,CPI,48_month_loan,60_month_loan,s&p,New BEV Added
0,243.603,4.52,4.21,2366.82,468.0
1,243.801,4.52,4.21,2359.31,390.0
2,244.524,4.52,4.21,2395.35,508.0
3,244.733,4.67,4.24,2433.99,465.0
4,244.955,4.67,4.24,2454.1,417.0
5,244.786,4.67,4.24,2456.22,393.0
6,245.519,4.42,4.36,2492.84,299.0
7,246.819,4.42,4.36,2557.0,400.0
8,246.663,4.42,4.36,2593.61,446.0
9,246.669,4.81,4.51,2664.34,353.0
10,246.524,4.81,4.51,2789.8,308.0
11,247.867,4.81,4.51,2705.16,548.0
12,248.991,4.74,4.75,2702.77,243.0
13,249.554,4.74,4.75,2653.63,417.0
14,250.546,4.74,4.75,2701.49,531.0
15,251.588,5.05,4.99,2754.35,777.0
16,251.989,5.05,4.99,2793.64,733.0
17,252.006,5.05,4.99,2857.82,550.0
18,252.146,5.05,4.96,2901.5,593.0
19,252.439,5.05,4.96,2785.46,585.0
20,252.885,5.05,4.96,2723.23,1356.0
21,252.038,5.29,5.36,2567.31,1262.0
22,251.233,5.29,5.36,2607.39,941.0
23,251.712,5.29,5.36,2754.86,1389.0
24,252.776,5.5,5.24,2803.98,577.0
25,254.202,5.5,5.24,2903.8,341.0
26,255.548,5.5,5.24,2854.71,1021.0
27,256.092,5.35,5.36,2890.17,696.0
28,256.143,5.35,5.36,2996.11,831.0
29,256.571,5.35,5.36,2897.5,982.0
30,256.558,5.27,5.27,2982.16,749.0
31,256.759,5.27,5.27,2977.68,767.0
32,257.346,5.27,5.27,3104.9,1575.0
33,257.208,5.45,5.37,3176.75,452.0
34,256.974,5.45,5.37,3278.2,653.0
35,257.971,5.45,5.37,3277.31,2031.0
36,258.678,5.29,5.15,2652.39,482.0
37,258.115,5.29,5.15,2761.98,733.0
38,256.389,5.29,5.15,2919.61,345.0
39,256.394,5.13,5.14,3104.66,-8.0
40,257.797,5.13,5.14,3207.62,262.0
41,259.101,5.13,5.14,3391.71,1400.0
42,259.918,4.98,4.98,3365.52,598.0
43,260.28,4.98,4.98,3418.7,569.0
44,260.388,4.98,4.98,3548.99,1017.0
45,260.229,4.95,4.8,3695.31,1358.0
46,260.474,4.95,4.8,3793.75,798.0
47,261.582,4.95,4.8,3883.43,1568.0
48,263.014,5.21,4.96,3910.51,868.0
49,264.877,5.21,4.96,4141.18,825.0
50,267.054,5.21,4.96,4167.85,1866.0
51,269.195,5.28,5.05,4238.49,1245.0
52,271.696,5.28,5.05,4363.71,1120.0
53,273.003,5.28,5.05,4454.21,2049.0
54,273.567,5.14,4.6,4445.54,1524.0
55,274.31,5.14,4.6,4460.71,1199.0
56,276.589,5.14,4.6,4667.39,1724.0
57,277.948,4.58,4.67,4674.77,1636.0
58,278.802,4.58,4.67,4573.82,1502.0
59,281.148,4.58,4.67,4435.98,1591.0
60,283.716,4.87,4.52,4391.27,1597.0
61,287.504,4.87,4.52,4391.3,1597.0
62,289.109,4.87,4.52,4040.36,2401.0
63,292.296,5.15,4.85,3898.95,1387.0
64,296.311,5.15,4.85,3911.73,1683.0
65,296.276,5.15,4.85,4158.56,2454.0
66,296.171,5.52,5.5,3850.52,2312.0
67,296.808,5.52,5.5,3726.05,1471.0
68,298.012,5.52,5.5,3917.49,3275.0
69,297.711,6.94,6.55,3912.38,3309.0
